Year,Place,P (Blank or P),Governing Body,Type of Governing Body,5+,Description,Verified,Specific,Reception,Protection,Contact Through Trade,Partial Emancipation,Symbolic,Full Emancipation,Invited,Success Altering Country,Bribe Ends Expulsion,Leader Ends Expulsion,Conquer Country,Self Governing,Noted Holding IP,Brought in for Economic Growth,Laws Protecting Israel/Jews
1773,Brazil under Portuguese Rule,,,,,abolished decrees against Jews (https://www.jewishvirtuallibrary.org/brazil-virtual-jewish-history-tour),,,,,,,,,,,,,,,,,
1775,"Alsace, France",P,,,,,,,,,,,,,,,,,,,,,
1775,"Warsaw, Poland",P,,,,,,,,,,,,,,,,,,,,,
1775,Papal States,P,,,,,,,,,,,,,,,,,,,,,
1776,Yugoslavia,,,,,"Toward the end of the 18th century, Jews from Hungary, Bohemia, Moravia, and especially Burgenland (east Austria) resettled there. In 1776 Jews came to Osijek and in 1777 to Varaždin and a limited number to Zagreb. ",,,,,,,,,,,,,,,,,
1776,"Basra, Iraq",P,,,,,,,,,,,,,,,,,,,,,
1777,"Alsace, France",P,,,,,,,,,,,,,,,,,,,,,
1777,"Venice, Italy",P,,,,,,,,,,,,,,,,,,,,,
1777,"Trieste, Italy ie Habsburg Trieste",,Habsburg Trieste,,,"In the beginning of the 18th century, Trieste was declared a free port by the Habsburgs, with the first free port patents inviting persons of ""any religion or nationality"" to both trade and settle in Trieste.[1] Trieste official explicitly argued for a policy of luring foreign merchants, with a focus on Greek and Jewish traders, with privileges of freedom of commerce and settlement. Under this policy, the Jewish population of Trieste began to increase dramatically, from under 100 at the beginning of the 18th century to 1,250 in 1800, constituting 5-7% of the total population. Jews in Trieste were granted a range of liberties, including ownership of real property, free and equal engagement in both inland and maritime commerce, artisanry, and manufacturing. The wealthiest Jewish merchants held seats on the Trieste Commodity Exchange from its founding in 1755, holding 6 of the 42 seats by the early 1780s.[1]On 19 April 1771, Maria Theresa granted two Sovereign Licenses to the Jews of Trieste, licenses that constitute real regulations.[1] In 1782, with the famous Edict of Tolerance, Joseph II admitted the Jews to some charges in the stock exchange and to other liberal professions. A year later the Jewish primary school was opened with the name of Scuole Pie Normali Israelitiche. The following year, in 1784, the gates of the Ghetto were opened so that the Jews of Trieste could live together with their fellow citizens of different religions; however most of them continued to live in the ghetto. Indeed, after a short occupation of the French in 1797, they began to build two new synagogues in the street of the Jewish schools, but they were demolished during the first quarter of the 20th century when the Old Town was destroyed.",,,,,,,,,,,,,,,,,
1778,"Friuli, Italy",P,,,,,,,,,,,,,,,,,,,,,
1779,"Correggio, Italy",P,,,,,,,,,,,,,,,,,,,,,
1780,"Padua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1781,Kaunas,,,,,"Twenty years later, after the Jews fled a pogrom in 1761, a royal court ordered their return to Kaunas, restoration of their property with compensation for damages and two weeks' imprisonment for the mayor. These events were recorded in a Kaunas Scroll, and read annually on Shushan Purim.  https://collections.yadvashem.org/en/places/5428050. Avraham and Moshe Soloveitchik played a key role in fighting expulsion, buying ruined property for rehabilitation.",,,,,,,,,,,,,,,,,
1781,"Montagnana, Italy",P,,,,,,,,,,,,,,,,,,,,,
1782,"Bălți, Moldova",,,,,"After their legal status was formally established in 1782, their numbers increased steadily—from 244 families in 1817 to 1,792 in 1847, rising to 4,365 in 1857. After May 1882, Russian laws prohibiting Jews to live in villages were rescinded, and by 1897 the number of Jews in Bălți had increased to 10,348 (56% of the population). In 1861, Bălți had 8 synagogues; by 1910 there were 14. Yisra’el Ioffe served as a rabbi from 1885.",,,,,,,,,,,,,,,,,
1782,Hasburg Empire,,,,,1782 Edict of Tolerance (an expansion that included Jewish population),,,,,,,,,,,,,,,,,
1782,Holy Roman Empire,,,,,Holy Roman Emperor Joseph II abolishes most persecution practices in Toleranzpatent on condition that Yiddish and Hebrew are eliminated from public records and judicial autonomy is annulled.,,,,,,,,,,,,,,,,,
1782,Kaunas,,,,,Kaunas. In 1782 the expelled Jews were permitted to return to Kaunas.,,,,,,,,,,,,,,,,,
1782,"Conselve, Italy",P,,,,,,,,,,,,,,,,,,,,,
1782,"Cittadella, Italy",P,,,,,,,,,,,,,,,,,,,,,
1783,"Ancona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1783,"Friuli, Italy",P,,,,,,,,,,,,,,,,,,,,,
1783,Morocco,P,,,,,,,,,,,,,,,,,,,,,
1783,"Spilimbergo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1784,"Alsace, France",P,,,,,,,,,,,,,,,,,,,,,
1784,Morocco,P,,,,,,,,,,,,,,,,,,,,,
1785,Bukhara,P,,,,,,,,,,,,,,,,,,,,,
1785,Libya,P,,,,,,,,,,,,,,,,,,,,,
1786,Morocco,P,,,,,,,,,,,,,,,,,,,,,
1786,"Jeddah, Arabia",P,,,,,,,,,,,,,,,,,,,,,
1788,United States,,,,,Ratification of the U.S. Constitution means Jews may hold any federal office.,,,,,,,,,,,,,,,,,
1789,"Alsace, France",P,,,,,,,,,,,,,,,,,,,,,
1790,"Newport, Rhode Island, USA",,,,,"The Touro Synagogue's warden, Moses Seixas, wrote to George Washington, expressing his support for Washington's administration and good wishes for him. Washington sent a letter in response, which read in part: ""... the Government of the United States ... gives to bigotry no sanction, to persecution no assistance. ... May the children of the Stock of Abraham, who dwell in this land, continue to merit and enjoy the good will of the other Inhabitants; while every one shall sit in safety under his own vine and figtree, and there shall be none to make him afraid. May the father of all mercies scatter light and not darkness in our paths, and make us all in our several vocations useful here, and in his own due time and way everlastingly happy.""",,,,,,,,,,,,,,,,,
1790,France,,,,,"Jan. 28, 1790, the “Portuguese,” “Spanish,” and “Avignonese” Jews were given their equality. The main argument, made by Talleyrand, was that these Jews were culturally and socially already not alien. The issue of the Ashkenazim remained unresolved.",,,,,,,,,,,,,,,,,
1790,"Grodno, Belarus",P,,,,,,,,,,,,,,,,,,,,,
1790,"Tétouan, Morocco",P,,,,,,,,,,,,,,,,,,,,,
1790,"Leghorn, Italy",P,,,,,,,,,,,,,,,,,,,,,
1790,"Florence, Italy",P,,,,,,,,,,,,,,,,,,,,,
1790,"Warsaw, Poland",P,,,,,,,,,,,,,,,,,,,,,
1790,Morocco,P,,,,,,,,,,,,,,,,,,,,,
1791,"Saint-Domingue, Hispaniola",P,,,,,,,,,,,,,,,,,,,,,
1791,France[18][9],,,,,French Jews granted full citizenship for the first time since the Roman Empire.,,,,,,,,,,,,,,,,,
1791,Russian Empire Pale of Settlement,,,,,"(1791) to permit the presence of the Jews not only in their former regions of residence, but also in the new areas which had then been annexed from Turkey on the Black Sea shore, in whose rapid colonization the Russian government was interested. On the other hand, Jewish merchants were prohibited from trading in the provinces of inner Russia. These decrees were intended to serve the national and economic interests of the state by preventing competition of the Jewish with Russian merchants and encouraging settlement in the desolate steppes of southern Russia; after a time these formed the provinces of Kherson, Dnepropetrovsk (Yekaterinoslav), and Taurida (Crimea). ",,,,,,,,,,,,,,,,,
1791,Russia,P,,,,,,,,,,,,,,,,,,,,,
1793,"Ancona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1793,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1793,Romania,,,,,"1793, the residents of the Razvan suburb petitioned Prince Alexander Moruzi to remove Jews who had recently settled there and demolish the synagogue they had erected. The prince ordered the synagogue to be closed (January 1794), but refused to have the Jews removed from the suburb, and a few days later even issued a decree affording them protection.",,,,,,,,,,,,,,,,,
1793,"Basra, Iraq",,,,,"The community regained its importance during the 18th century. Its wealth increased; rich landowners in the community liberally distributed alms and even sent contributions to Ereẓ Israel. The liturgical poem Megillat Paras (""Persian Scroll"") by the emissary from Hebron, Jacob Elyashar, describes the siege of Basra by the Persians and the town's deliverance in 1775, when the Jewish minister of finance, Jacob b. Aaron, who had been captured, was released. Afterward, Nisan 2nd – the day on which the siege was lifted – was celebrated in Basra as the ""Day of the Miracle."" Jews played such a vital role in the commercial life of Basra that in 1793 the representative of the East India Company was forced to live in Kuwait for nearly two years, because he had quarreled with the Jewish merchants. ",,,,,,,,,,,,,,,,,
1793,Bukhara,,,,," A Sephardic Moroccan Jew, Maghribi began a revival of Bukharan religious and spiritual life single-handedly. He introduced Sephardic traditions and prayer to a community who had all but forgotten their Persian rites. Maman recruited European religious teachers to re-educate Bukharan Jews. He founded Hibbat Zion, a precursor to Zionism, and encouraged aliyah to Palestine. Maman served the Bukharan Jews for thirty years, until he died in 1823, having completely transformed the destitute Jewish community.",,,,,,,,,,,,,,,,,
1794,Russian Empire Pale of Settlement,P,,,,,,,,,,,,,,,,,,,,,
1794,"Cologne, Germany",,,,,The annexation of the Rhineland by revolutionary France in 1794 brought Jewish residents again to Cologne from 1798,,,,,,,,,,,,,,,,,
1796,"Piedmont, Italy",P,,,,,,,,,,,,,,,,,,,,,
1796,Batavian Republic,,,,,,,,,,,,,,,,,,,,,,
1796,Italy,,,,,French troops led by Napoleon liberate many Italian ghettos.,,,,,,,,,,,,,,,,,
1797,"Kaunas, Lithuania",P,,,,,,,,,,,,,,,,,,,,,
1797,"Padua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1797,"Pesaro, Italy",P,,,,,,,,,,,,,,,,,,,,,
1797,"Lugo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1797,France,,,,,"Napoleon calls for the end of Jewish segregation, ghettoization, and the denial of equal rights.",,,,,,,,,,,,,,,,,
1797,Italy,,,,,the French Revolutionary Army brings temporary emancipation to the Jews of Italy.,,,,,,,,,,,,,,,,,
1798,France,,,,,"With the French expulsion of the pope from Rome, Jews are granted equal rights and all earlier special laws relating to their status are revoked.",,,,,,,,,,,,,,,,,
1798,"Reggio, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,Italy,,,,,"With the French expulsion of the pope from Rome, Jews are granted equal rights and all earlier special laws relating to their status are revoked.",,,,,,,,,,,,,,,,,
1798,"Cento, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,"Padua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,"Pesaro, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,"Alessandria, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,"Senigallia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,"Modena, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,"Campformio, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,"Verona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,"Lugo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,"Chieri, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,"Fossano, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,"Acqui, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,"Kaunas, Lithuania",P,,,,,,,,,,,,,,,,,,,,,
1798,"Piedmont, Italy",P,,,,,,,,,,,,,,,,,,,,,
1798,"Venice, Italy",P,,,,,,,,,,,,,,,,,,,,,
1799,"Modena, Italy",P,,,,,,,,,,,,,,,,,,,,,
1799,"Mantua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1799,"Elba, Italy",P,,,,,,,,,,,,,,,,,,,,,
1799,"Bologna, Italy",P,,,,,,,,,,,,,,,,,,,,,
1799,"Senigallia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1799,"Ferrara, Italy",P,,,,,,,,,,,,,,,,,,,,,
1799,"Malta, Italy",P,,,,,,,,,,,,,,,,,,,,,
1799,"Milan, Italy",P,,,,,,,,,,,,,,,,,,,,,
1799,"Ancona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1799,"Urbino, Italy",P,,,,,,,,,,,,,,,,,,,,,
1800,"Arezzo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1800,Italy,,,,,"In 1800 Napoleon, now as first consul, reconquered northern and central Italy and annexed it to France, ultimately to serve as the kernel of his future Kingdom of Italy. Jewish equality was secure in Italy until Napoleon’s fall in 1815.",,,,,,,,,,,,,,,,,
1801,"Ivrea, Italy",P,,,,,,,,,,,,,,,,,,,,,
1801,"Bucharest, Romania",P,,,,,,,,,,,,,,,,,,,,,
1801,"Florence, Italy",P,,,,,,,,,,,,,,,,,,,,,
1801,"Sienna, Italy",P,,,,,,,,,,,,,,,,,,,,,
1801,"Monte San Savino, Italy",P,,,,,,,,,,,,,,,,,,,,,
1801,"Florence, Italy",Roman Catholic,Kingdom of Naples,Feudal absolute monarchy,,"Jews Expelled/unsuccessful (Jewish bribe to Archbishop Antonia Martini) (C. Roth, ‘The History of the Jews of Italy’, p. 436).",0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
1802,"Tuscany, Italy",P,,,,,,,,,,,,,,,,,,,,,
1803,"Bremen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1803,"Asti, Italy",P,,,,,,,,,,,,,,,,,,,,,
1804,Yugoslavia,,,,,"Jews in Belgrade play a significant role in trade during Austrian rule. Jews flee Belgrade during Serbian wars of independence, establish a community in Zemun. (JVL)",,,,,,,,,,,,,Zemun,,,Serbian War of Independence,Outgroup - Undue Influence/Takeover
1804,"Villages & Countrysides, Russia",P,,,,,,,,,,,,,,,,,,,,,
1804,Yugoslavia,P,,,,,,,,,,,,,,,,,,,,,
1805,"Algiers, Algeria",P,,,,,,,,,,,,,,,,,,,,,
1806,"Lucca, Italy",P,,,,,,,,,,,,,,,,,,,,,
1807,"Alsace, France",,,,," in February, 1807, by order of the emperor. The Jewish religion was then officially established in Alsace. It was to be governed by two consistories, one at Strasburg and the other at Colmar; and a synagogue, built at Strasburg in 1809, took the place of the private houses of worship that had existed up to that time.",,,,,,,,,,,,,,,,,
1808,,,,,,"Under Napoleon, Jews are freed from the ghetto of Florence, but are forced to return in 1815, with the restoration of the House of Lorraine",,,,,,,,,,,,,,,,,
1808,Westphalia[19],,,,,,,,,,,,,,,,,,,,,,
1808,Grand Duchy of Hesse,,,,,,,,,,,,,,,,,,,,,,
1809,"Rovigo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1809,"Ferrara, Italy",P,,,,,,,,,,,,,,,,,,,,,
1809,"Sermide, Italy",P,,,,,,,,,,,,,,,,,,,,,
1809,Duchy of Warsaw,P,,,,,,,,,,,,,,,,,,,,,
1811,"Algiers, Algeria",P,,,,,,,,,,,,,,,,,,,,,
1811,"Alsace, France",P,,,,,,,,,,,,,,,,,,,,,
1811,Grand Duchy of Frankfurt[20],,,,,,,,,,,,,,,,,,,,,,
1812,Mecklenburg-Schwerin[21],,,,,,,,,,,,,,,,,,,,,,
1812,Prussia[22],,,,," It was even more bitterly resented on the background of Jewish emancipation in France, the liberalizing edict passed in Prussia in 1812, and the budding liberal, revolutionary, and nationalist ideologies in Europe.",,,,,,,,,,,,,,,,,
1813,Kingdom of Bavaria[23],,,,,,,,,,,,,,,,,,,,,,
1814,"Elba, Italy",P,,,,,,,,,,,,,,,,,,,,,
1814,"Bremen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1814,"Nice, Italy",P,,,,,,,,,,,,,,,,,,,,,
1814,"Piedmont, Italy",P,,,,,,,,,,,,,,,,,,,,,
1814,Norway,P,,,,,,,,,,,,,,,,,,,,,
1815,"Hagenbach, Germany to United States",,,,,"year est. As a result, many German Jews began to emigrate. The emigration was encouraged by German-Jewish newspapers.[33] At first, most emigrants were young, single men from small towns and villages. A smaller number of single women also emigrated. Individual family members would emigrate alone, and then send for family members once they had earned enough money. Emigration eventually swelled, with some German Jewish communities losing up to 70% of their members. At one point, a German-Jewish newspaper reported that all the young Jewish males in the Franconian towns of Hagenbach, Ottingen, and Warnbach had emigrated or were about to emigrate.[33] The United States was the primary destination for emigrating German Jews.",1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0
1815,"Ottingen, Germany to United States",,,,,"year est. As a result, many German Jews began to emigrate. The emigration was encouraged by German-Jewish newspapers.[33] At first, most emigrants were young, single men from small towns and villages. A smaller number of single women also emigrated. Individual family members would emigrate alone, and then send for family members once they had earned enough money. Emigration eventually swelled, with some German Jewish communities losing up to 70% of their members. At one point, a German-Jewish newspaper reported that all the young Jewish males in the Franconian towns of Hagenbach, Ottingen, and Warnbach had emigrated or were about to emigrate.[33] The United States was the primary destination for emigrating German Jews.",1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0
1815,"Warnbach, Germany to United States",,,,,"year est. As a result, many German Jews began to emigrate. The emigration was encouraged by German-Jewish newspapers.[33] At first, most emigrants were young, single men from small towns and villages. A smaller number of single women also emigrated. Individual family members would emigrate alone, and then send for family members once they had earned enough money. Emigration eventually swelled, with some German Jewish communities losing up to 70% of their members. At one point, a German-Jewish newspaper reported that all the young Jewish males in the Franconian towns of Hagenbach, Ottingen, and Warnbach had emigrated or were about to emigrate.[33] The United States was the primary destination for emigrating German Jews.",1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0
1815,"Franconia, Germany",P,,,,,,,,,,,,,,,,,,,,,
1815,"Ottingen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1815,"Algiers, Algeria",P,,,,,,,,,,,,,,,,,,,,,
1815,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1815,"Florence, Italy",P,,,,,,,,,,,,,,,,,,,,,
1815,"Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1815,"Lubeck, Germany",P,,,,,,,,,,,,,,,,,,,,,
1815,"Bremen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1815,"Swabia, Germany",P,,,,,,,,,,,,,,,,,,,,,
1815,"Hagenbach, Germany",P,,,,,,,,,,,,,,,,,,,,,
1815,"Warnbach, Germany",P,,,,,,,,,,,,,,,,,,,,,
1818,"Bucharest, Romania",P,,,,,,,,,,,,,,,,,,,,,
1818,"Constantine, Algeria",P,,,,,,,,,,,,,,,,,,,,,
1819,Latvia,P,,,,,,,,,,,,,,,,,,,,,
1819,"Frankfurt, Germany ",P,,,,,,,,,,,,,,,,,,,,,
1819,"Leipzig, Germany",P,,,,,,,,,,,,,,,,,,,,,
1819,"Dresden, Germany",P,,,,,,,,,,,,,,,,,,,,,
1819,"Darmstadt, Germany",P,,,,,,,,,,,,,,,,,,,,,
1819,Denmark,P,,,,,,,,,,,,,,,,,,,,,
1819,"Germany, Denmark, Latvia, Bohemia",P,,,,,,,,,,,,,,,,,,,,,
1819,Bohemia,P,,,,,,,,,,,,,,,,,,,,,
1820,"Bremes, France",P,,,,,,,,,,,,,,,,,,,,,
1820,"The Corso, Italy",P,,,,,,,,,,,,,,,,,,,,,
1820,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1821,Odessa,P,,,,,,,,,,,,,,,,,,,,,
1821,"Herta, (now Gertsa), Moldavia, Romania",P,,,,,,,,,,,,,,,,,,,,,
1821,"Odobesti, Moldavia, Romania",P,,,,,,,,,,,,,,,,,,,,,
1821,"Vaslui, Moldavia, Romania",P,,,,,,,,,,,,,,,,,,,,,
1821,"Roman, Maldavia, Romania",P,,,,,,,,,,,,,,,,,,,,,
1821,"Bremen, Germany",,,,,"Jews were not admitted to Bremen until 1803, when the inclusion of the Hanoverian townships of Barkhof and Hastedt within the boundaries of Bremen brought a viable Jewish community within its jurisdiction. Although Jewish settlement was still officially prohibited in Bremen, at the time of the Napoleonic Wars several Jewish families were living in the city, besides those settled in its two suburbs. The community sent representatives (see Carl August *Buchholz ) to the Congress of *Vienna in 1815 to press for Jewish rights in the German cities. The community in Bremen continued to grow, still without official authorization, and numbered 87 in 1821. The situation was regularized by the act of 1848 permitting Jews to settle in the city, and the community moved its institutions from Hastedt to Bremen.",,,,,,,,,,,,,,,,,
